E      ; sig
1137.52 ; 8.604326
1137.587 ; 8.396153
1137.654 ; 8.210933
1137.721 ; 8.045381
1137.855 ; 7.762444
1137.989 ; 7.529553
1138.123 ; 7.333998
1138.257 ; 7.166769
1138.391 ; 7.021471
1138.525 ; 6.893523
1138.659 ; 6.779593
1138.793 ; 6.677208
1138.927 ; 6.584489
1139.195 ; 6.422499
1139.463 ; 6.285088
1139.705 ; 6.177311
1139.946 ; 6.082199
1140.187 ; 5.997002
1140.428 ; 5.91996
1140.67 ; 5.84941
1140.911 ; 5.784828
1141.393 ; 5.669253
1141.876 ; 5.567267
1142.358 ; 5.475311
1142.84 ; 5.390057
1143.322 ; 5.308903
1143.698 ; 5.246913
1144.073 ; 5.185005
1144.448 ; 5.121784
1144.823 ; 5.055808
1145.011 ; 5.021153
1145.198 ; 4.985296
1145.386 ; 4.947567
1145.573 ; 4.908084
1145.761 ; 4.866213
1145.855 ; 4.844457
1145.948 ; 4.822453
1146.042 ; 4.799843
1146.136 ; 4.777067
1146.23 ; 4.754456
1146.323 ; 4.732751
1146.404 ; 4.714951
1146.484 ; 4.699057
1146.565 ; 4.685554
1146.645 ; 4.675898
1146.726 ; 4.671304
1146.806 ; 4.673674
1146.886 ; 4.685082
1146.966 ; 4.708126
1147.047 ; 4.746434
1147.127 ; 4.802598
1147.208 ; 4.882056
1147.288 ; 4.98718
1147.369 ; 5.125265
1147.449 ; 5.297596
1147.529 ; 5.510221
1147.609 ; 5.767349
1147.69 ; 6.076699
1147.77 ; 6.433311
1147.851 ; 6.847528
1147.931 ; 7.308941
1148.092 ; 8.384785
1148.253 ; 9.618453
1148.307 ; 10.05503
1148.468 ; 11.37329
1148.628 ; 12.61791
1148.722 ; 13.26994
1148.815 ; 13.8289
1148.961 ; 14.48752
1149.0 ; 14.61198
1149.014 ; 14.65103
1149.055 ; 14.74795
1149.096 ; 14.81851
1149.178 ; 14.87979
1149.272 ; 14.82034
1149.366 ; 14.62886
1149.525 ; 14.04033
1149.684 ; 13.19495
1150.003 ; 11.13881
1150.162 ; 10.1251
1150.242 ; 9.649609
1150.321 ; 9.210183
1150.397 ; 8.818886
1150.473 ; 8.460161
1150.549 ; 8.134567
1150.625 ; 7.841701
1150.701 ; 7.580384
1150.777 ; 7.34885
1150.853 ; 7.144924
1150.928 ; 6.968381
1151.004 ; 6.812
1151.08 ; 6.675753
1151.156 ; 6.557181
1151.232 ; 6.45397
1151.308 ; 6.363994
1151.384 ; 6.285338
1151.46 ; 6.216309
1151.535 ; 6.156182
1151.619 ; 6.096758
1151.702 ; 6.044895
1151.785 ; 5.998682
1151.868 ; 5.957168
1151.952 ; 5.919144
1152.035 ; 5.884884
1152.201 ; 5.824297
1152.368 ; 5.771635
1152.534 ; 5.725538
1152.7 ; 5.68433
1152.866 ; 5.647069
1153.033 ; 5.612874
1153.199 ; 5.581634
1153.531 ; 5.525844
1153.864 ; 5.476958
1154.196 ; 5.433642
1154.572 ; 5.389682
1154.948 ; 5.349998
1155.324 ; 5.313733
1155.7 ; 5.280253
1156.076 ; 5.249064
1156.452 ; 5.219764
1157.204 ; 5.165526
1157.956 ; 5.115521
1158.708 ; 5.068498
1159.46 ; 5.02354
